Year_Code,Country_Name,Country_Code,Adults_15_living_HIV,Adults_Children_0_14_15_living_HIV,AIDS_estimated_deaths_UNAIDS,Adults_children_0_14_15_newly_infected_HIV,Adults_15_newly_infected_HIV,Children_0_14_living_with_HIV,Children_orphaned_by_HIV_AIDS,Children_0_14_newly_infected_HIV,Incidence_tuberculosis_per_100000,Labor_force_total,Mortality_traffic_injury_100K,Population_female,Population_male,Population_total,Malaria_cases_reported,Suicide_mortality_per_100K,Tuberculosis_death_per_100K,Tuberculosis_case_detection,Tuberculosis_treatment_success_NewCases
YR2010,Nepal,NPL,37000,38000,2500,2200,2000,1400,26000,200,163,14198597,18.7,13841577,13181560,27023137,3894,6.6,17,80,91
YR2010,Netherlands,NLD,20000,20000,200,1000,1000,100,1200,100,7.1,8847990,3.8,8364526,8250868,16615394,,9.8,0.34,87,84
YR2010,New Caledonia,NCL,,,,,,,,,23,107559,,123186,126814,250000,,,1.9,87,82
YR2010,New Zealand,NZL,,,,,,,,,7.9,2340026,9.3,2214443,2136257,4350700,,12.7,0.39,87,80
YR2010,Nicaragua,NIC,8800,9200,1000,500,500,500,7700,100,53,2433151,16.2,2910869,2826854,5737723,692,10.2,4.9,80,85
YR2010,Niger,NER,51000,58000,4000,2000,1400,7000,73000,1000,113,5320775,29.1,8215973,8209605,16425578,620058,4.7,21,55,81
YR2010,Nigeria,NGA,2800000,3100000,200000,230000,180000,290000,2600000,44000,339,49388905,22.8,78374056,80204205,158578261,551187,9.8,93,16,81
YR2010,North America,NAC,,,,,,,,,4.2,176185108,11.08403755,173685470,169667997,343418591,,12.88019226,0.21,87,67
YR2010,Norway,NOR,,,,,,,,,6.9,2607172,4.3,2445123,2444129,4889252,,11.7,0.58,87,89
YR2010,Oman,OMN,,,,,,,,,12,1376740,29.2,1206905,1834555,3041460,24,4.9,0.75,87,98
YR2010,Pakistan,PAK,65000,66000,1300,14000,13000,1100,3300,1000,276,58798535,15.9,82873406,87686776,170560182,240591,2.1,33,56,90
YR2010,Palau,PLW,,,,,,,,,107,,,,,20470,,,8.7,87,84
YR2010,Panama,PAN,16000,17000,500,1200,1200,,,,53,1689278,13,1813055,1830167,3643222,418,5.8,5.8,80,75
YR2010,Papua New Guinea,PNG,37000,40000,1700,2700,2200,3100,14000,500,432,3148469,16.3,3493244,3614995,7108239,93956,9.6,86,49,50
YR2010,Paraguay,PRY,15000,15000,500,1300,1200,500,5400,100,42,2917671,24.1,3059484,3150393,6209877,18,9.7,4.6,87,70
YR2010,Peru,PER,66000,68000,2900,,,2000,54000,200,132,15538119,14.5,14697923,14675723,29373646,31546,6.4,8.2,80,68
YR2010,Philippines,PHL,15000,16000,200,4300,4300,200,1000,100,322,40219202,4.6,46416789,47309835,93726624,18560,3.8,27,55,90
YR2010,Poland,POL,,,,,,,,,21,18048539,11.9,19649274,18393520,38042794,,23.1,1.6,87,67
YR2010,Portugal,PRT,,,,,,,,,28,5483823,11.2,5511012,5062088,10573100,,13.5,2.1,87,74
YR2010,Puerto Rico,PRI,,,,,,,,,2.5,1295437,9.8,1933052,1788473,3721525,,9.9,0.33,87,83
YR2010,Qatar,QAT,100,100,100,100,100,,,,38,1338989,16.9,430198,1349478,1779676,,7,0.11,87,87
YR2010,Romania,ROU,14000,14000,200,1000,1000,100,1300,100,105,9403145,10.8,10416650,9830221,20246871,,14,7.4,87,84
YR2010,Russian Federation,RUS,,,,,,,,,101,76574711,18.5,76601805,66247644,142849449,0,25.7,16,87,66
YR2010,Rwanda,RWA,180000,210000,5600,9800,7700,23000,130000,2100,88,5088678,31,5229831,5017011,10246842,638669,9.1,8.1,74,82
YR2010,Samoa,WSM,,,,,,,,,8.7,49172,14.6,90154,96051,186205,,6.2,0.71,87,86
YR2010,San Marino,SMR,,,,,,,,,2.5,,,,,31110,,,0,,
YR2010,Sao Tome and Principe,STP,,,,,,,,,96,58253,31.5,87809,86967,174776,2740,1.9,11,74,76
YR2010,Saudi Arabia,SAU,6600,6800,200,500,500,200,1100,100,18,10024903,24.1,12025041,15400635,27425676,29,3.5,3,87,61
YR2010,Senegal,SEN,40000,45000,1500,1800,1000,4900,25000,1000,136,4062407,28.6,6592433,6323796,12916229,343670,7,22,63,82
YR2010,Serbia,SRB,1800,1800,100,200,200,,,,30,3050599,7.9,3725389,3566047,7291436,,16.4,2,87,88
YR2010,Seychelles,SYC,,,,,,,,,21,,13.5,43472,46298,89770,,9.6,0,87,76
YR2010,Sierra Leone,SLE,52000,56000,2600,,,4000,19000,1000,317,2406212,28,3268922,3189798,6458720,934028,14.5,43,70,86
YR2010,Singapore,SGP,,,,,,,,,35,2819981,5.1,2571724,2505008,5076732,,10.6,2,87,81
YR2010,Slovak Republic,SVK,1000,1000,100,100,100,,,,8.7,2691635,8.7,2776335,2615093,5391428,,13.5,0.66,87,88
YR2010,Slovenia,SVN,1000,1000,100,100,100,,,,9.5,1043262,7.1,1035302,1013281,2048583,,20.6,0.99,87,82
YR2010,Small states,SST,,,,,,,,,,15509940,17.99094716,17064421,18155867,35467734,,9.397671524,,,
YR2010,Solomon Islands,SLB,,,,,,,,,80,211598,18.1,259622,268168,527790,39704,8.1,8.8,80,89
YR2010,Somalia,SOM,23000,26000,2000,2100,1600,2600,23000,500,286,3408613,29.3,6035992,6017231,12053223,24553,4.9,78,37,74
YR2010,South Africa,ZAF,5700000,6100000,210000,380000,350000,390000,2100000,25000,948,18176862,25.5,25947418,25032015,50979432.36,8060,10.1,54,73,53
YR2010,South Asia,SAS,,,,,,,,,244,624397765,18.67372602,789274000,841455920,1630729920,,14.2752207,40,46,89
YR2010,South Sudan,SSD,170000,180000,13000,16000,13000,16000,100000,2800,,,24.7,5034943,5032249,10067192,900283,6.9,,,
YR2010,Spain,ESP,130000,130000,,4300,4300,100,12000,100,17,23589546,5.4,23548789,23028108,46576897,,6.8,0.87,87,69
YR2010,Sri Lanka,LKA,1800,1800,100,500,500,,,,66,8215410,19.1,10328731,9790269,20119000,684,28.6,5,74,88
YR2010,St. Kitts and Nevis,KNA,,,,,,,,,4.4,,,,,51445,,,2.5,87,100
YR2010,St. Lucia,LCA,,,,,,,,,5.8,90830,8.9,87893,84687,172580,,6.4,0.69,87,89
YR2010,St. Martin (French part),MAF,,,,,,,,,,,,,,30235,,,,,
YR2010,St. Vincent and the Grenadines,VCT,,,,,,,,,16,53622,3.6,54114,55201,109315,,3.8,5.7,87,0
YR2010,Sudan,SDN,41000,43000,1700,5100,4700,2000,15000,500,107,9391350,24.5,17232707,17153256,34385963,720557,10.9,22,53,75
YR2010,Swaziland,SWZ,170000,180000,6500,13000,11000,19000,95000,1800,1246,363019,25,619534,583309,1202843,268,15.2,37,68,72
YR2010,Sweden,SWE,8300,8300,200,1000,1000,100,1600,100,7.5,4974003,3,4706949,4671177,9378126,,14.6,0.38,87,88
YR2010,Switzerland,CHE,,,,,,,,,7.5,4510957,4.1,3972360,3852549,7824909,,14.5,0.36,87,
YR2010,Syrian Arab Republic,SYR,,,,,,,,,22,5773189,20.7,10409556,10609278,21018834,0,2.3,0.13,80,91
YR2010,Tajikistan,TJK,11000,11000,500,1300,1300,200,2800,100,128,3302988,18.2,3790278,3851352,7641630,111,3.8,5,72,86
YR2010,Tanzania,TZA,1200000,1300000,71000,67000,56000,160000,1400000,11000,426,21393331,31,23349002,22749589,46098591,1278998,6.8,75,31,89
YR2010,Thailand,THA,500000,510000,23000,13000,12000,10000,300000,500,181,39378492,32.7,34271291,32937517,67208808,32480,15.8,11,56,83
YR2010,Timor-Leste,TLS,,,,,,,,,498,246377,16.9,546158,563433,1109591,48137,8,42,,28
YR2010,Togo,TGO,98000,110000,7600,5500,3300,15000,100000,2200,76,3015296,32.2,3265863,3237089,6502952,617101,9.4,11,58,85
YR2010,Tonga,TON,,,,,,,,,12,41700,5.3,51982,52155,104137,,3.6,1,87,90
YR2010,Trinidad and Tobago,TTO,10000,10000,500,1000,1000,200,2300,100,19,671259,18.7,670819,657281,1328100,,12.9,1.5,87,71
YR2010,Tunisia,TUN,1600,1600,100,500,500,,,,28,3806039,23.7,5363832,5276099,10639931,,5.2,2.5,80,85
YR2010,Turkey,TUR,,,,,,,,,25,25640706,7.3,36762717,35564197,72326914,0,10.5,1,87,89
