ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,AIR_TIME,FLIGHTS,DISTANCE
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1323,-10,12,2,1558,-15,0,0,0,0,141,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1329,-4,13,3,1608,-5,0,0,0,0,143,1,1073
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,2130,0,10,7,2347,-3,0,0,0,0,120,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,2306,96,16,9,135,105,105,1,0,0,124,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,2128,-2,14,9,2358,8,8,0,0,0,127,1,944
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,553,-7,13,5,812,-17,0,0,0,0,121,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,555,-5,11,4,807,-22,0,0,0,0,117,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,558,-2,12,5,816,-13,0,0,0,0,121,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,556,-5,19,5,828,-1,0,0,0,0,128,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,627,26,24,9,901,32,32,1,0,0,121,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,619,18,12,6,828,-1,0,0,0,0,111,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,557,-4,17,4,807,-22,0,0,0,0,109,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,557,-4,14,5,812,-17,0,0,0,0,116,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,659,58,16,11,943,74,74,1,0,0,137,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,558,-3,12,5,829,0,0,0,0,0,134,1,950
13204,1320402,31454,12953,1295302,31703,LGA,"New York, NY",NY,610,9,11,7,833,4,4,0,0,0,125,1,950
